Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 No","2499322.166","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 No","2543130.378","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 No","2590270.906","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 No","2640278.794","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 No","2691979.337","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 No","2746072.148","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 No","2801002.636","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 No","2857866.86","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 No","2916108.105","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 No","2970292.19","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 No","3019233.44","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 No","3068370.619","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 No","3126686.74","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 No","3195779.257","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 No","3267212.339","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 No","3337111.985","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 No","3406417.033","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 No","3475448.169","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 No","3546810.807","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 No","3620655.28","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 No","3695390.341","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 No","3770163.098","X","Figure from international organizations",""
