Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1961","1961","1000 t","221558","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1962","1962","1000 t","248895","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1963","1963","1000 t","232099","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1964","1964","1000 t","267646","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1965","1965","1000 t","262527","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1966","1966","1000 t","303150","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1967","1967","1000 t","293165","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1968","1968","1000 t","326171","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1969","1969","1000 t","307542","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1970","1970","1000 t","310073","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1971","1971","1000 t","346646","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1972","1972","1000 t","341137","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1973","1973","1000 t","368657","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1974","1974","1000 t","357139","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1975","1975","1000 t","354162","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1976","1976","1000 t","417926","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1977","1977","1000 t","380993","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1978","1978","1000 t","442080","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1979","1979","1000 t","421553","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1980","1980","1000 t","437804","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1981","1981","1000 t","447404","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1982","1982","1000 t","475004","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1983","1983","1000 t","487712","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1984","1984","1000 t","511054","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1985","1985","1000 t","497640","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1986","1986","1000 t","526497","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1987","1987","1000 t","503223","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1988","1988","1000 t","498407","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1989","1989","1000 t","536980","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1990","1990","1000 t","590090","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1991","1991","1000 t","544588","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1992","1992","1000 t","562093","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1993","1993","1000 t","560686","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1994","1994","1000 t","523174","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1995","1995","1000 t","538359","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1996","1996","1000 t","580916","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1997","1997","1000 t","610101","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1998","1998","1000 t","589166","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","1999","1999","1000 t","584720","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2000","2000","1000 t","582372","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2001","2001","1000 t","584879","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2002","2002","1000 t","569762","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2003","2003","1000 t","555019","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2004","2004","1000 t","627405","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2005","2005","1000 t","621851","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2006","2006","1000 t","597205","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2007","2007","1000 t","608672","E","Estimated value"
