Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2010","2010","1000 t","640753","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2011","2011","1000 t","696804","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2012","2012","1000 t","676413","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2013","2013","1000 t","710284","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2014","2014","1000 t","728989","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2015","2015","1000 t","742360","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2016","2016","1000 t","748807","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2017","2017","1000 t","772623","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2018","2018","1000 t","733717","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2019","2019","1000 t","764878","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5511","Production","F2511","Wheat and products","2020","2020","1000 t","761282","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2010","2010","1000 t","21348","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2011","2011","1000 t","22094","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2012","2012","1000 t","22128","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2013","2013","1000 t","23158","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2014","2014","1000 t","27409","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2015","2015","1000 t","27270","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2016","2016","1000 t","28318","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2017","2017","1000 t","27400","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2018","2018","1000 t","26769","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2019","2019","1000 t","29358","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5123","Losses","F2511","Wheat and products","2020","2020","1000 t","29269","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2010","2010","1000 t","456354","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2011","2011","1000 t","460114","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2012","2012","1000 t","470137","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2013","2013","1000 t","475380","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2014","2014","1000 t","478192","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2015","2015","1000 t","483152","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2016","2016","1000 t","502117","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2017","2017","1000 t","507874","E","Estimated value"
"FBS","Food Balances (2010-)","001","World","5142","Food","F2511","Wheat and products","2018","2018","1000 t","502340","E","Estimated value"
